varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
spending_summary_df,"pandas.DataFrame({
""AverageMathScore"":spending_math_scores,
""AverageReadingScore"":spending_reading_scores,
""%PassingMath"":spending_passing_math,
""%PassingReading"":spending_passing_reading,
""%OverallPassing"":overall_passing_spending})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
size_summary_df,"pandas.DataFrame({
""AverageMathScore"":size_math_scores,
""AverageReadingScore"":size_reading_scores,
""%PassingMath"":size_passing_math,
""%PassingReading"":size_passing_reading,
""%OverallPassing"":size_overall_passing})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
type_summary_df,"pandas.DataFrame({
""AverageMathScore"":type_math_scores,
""AverageReadingScore"":type_reading_scores,
""%PassingMath"":type_passing_math,
""%PassingReading"":type_passing_reading,
""%OverallPassing"":type_overall_passing})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
"per_school_summary_df[""SpendingRanges(PerStudent)""]","pandas.cut(per_school_capita,spending_bins,labels=group_names)",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
"per_school_summary_df[""SchoolSize""]","pandas.cut(per_school_summary_df[""TotalStudents""],size_bins,labels=group_names)",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
school_data_complete_df,"pandas.merge(student_data_df,school_data_df,on=[""school_name"",""school_name""])",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
school_data_df,pandas.read_csv(school_data_to_load),CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
student_data_df,pandas.read_csv(student_data_to_load),CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
english_words_counter,collections.Counter([wordforsentenceinenglish_sentencesforwordinsentence.split(),CLUSTER_10,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
french_words_counter,collections.Counter([wordforsentenceinfrench_sentencesforwordinsentence.split(),CLUSTER_10,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
sentences,"numpy.array([sentence[0],x[0]])",CLUSTER_10,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
"v[""dW""+str(l+1)]","numpy.zeros_like(parameters[""W""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
"v[""db""+str(l+1)]","numpy.zeros_like(parameters[""b""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
"v[""dW""+str(l+1)]","numpy.zeros_like(parameters[""W""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
"v[""db""+str(l+1)]","numpy.zeros_like(parameters[""b""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
"s[""dW""+str(l+1)]","numpy.zeros_like(parameters[""W""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
"s[""db""+str(l+1)]","numpy.zeros_like(parameters[""b""+str(l+1)",CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
axes,matplotlib.pyplot.gca(),CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
axes,matplotlib.pyplot.gca(),CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
axes,matplotlib.pyplot.gca(),CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
num_complete_minibatches,math.floor(m/mini_batch_size),CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_0
trained_image,numpy.array(trained_image),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
trained_label,numpy.array(trained_label),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
im,numpy.array((trained_image),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
self.all_weights,"numpy.frombuffer(binary,dtype='float32')",CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
self.label,numpy.argmax(self.classes),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
class_sort,numpy.argsort([-box.classes[c]forboxinboxes]),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
size,numpy.prod(norm_layer.get_weights(),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
ax,matplotlib.pyplot.gca(),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
data,matplotlib.pyplot.imread(filename),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
"fig,ax",matplotlib.pyplot.subplots(),CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
image,"numpy.expand_dims(image,0)",CLUSTER_21,CLUSTER_7,CLUSTER_8,CLUSTER_28,CLUSTER_8
cwd,os.getcwd(),CLUSTER_13,CLUSTER_5,CLUSTER_6,CLUSTER_0,CLUSTER_1
data1,"pandas.read_csv('occupancy_data\datatest.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data2,"pandas.read_csv('occupancy_data\datatraining.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data3,"pandas.read_csv('occupancy_data\datatest2.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data1,"pandas.read_csv('occupancy_data\datatest.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data2,"pandas.read_csv('occupancy_data\datatraining.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data3,"pandas.read_csv('occupancy_data\datatest2.txt',header=0,index_col=1,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data,"pandas.read_csv('occupancy_data/combined.csv',header=0,index_col=0,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data,"pandas.read_csv('occupancy_data/combined.csv',header=0,index_col=0,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data,"pandas.read_csv('occupancy_data/combined.csv',header=0,index_col=0,parse_dates=True,squeeze=True)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
data,"pandas.concat([data1,data2,data3])",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
score,"sklearn.metrics.accuracy_score(testy,yhat)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
score,"sklearn.metrics.accuracy_score(testy,yhat)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
score,"sklearn.metrics.accuracy_score(testy,yhat)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
"trainX,testX,trainy,testy","sklearn.model_selection.train_test_split(X,y,test_size=0.3,shuffle=False,random_state=1)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
"trainX,testX,trainy,testy","sklearn.model_selection.train_test_split(X,y,test_size=0.3,shuffle=False,random_state=1)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
"trainX,testX,trainy,testy","sklearn.model_selection.train_test_split(X,y,test_size=0.3,shuffle=False,random_state=1)",CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
model,sklearn.linear_model.LogisticRegression(),CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
model,sklearn.linear_model.LogisticRegression(),CLUSTER_3,CLUSTER_10,CLUSTER_1,CLUSTER_0,CLUSTER_0
self.trees,"numpy.zeros(self.size,dtype=bool)",CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
self.fires,numpy.zeros((self.size),CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
self.trees,"numpy.zeros(self.size,dtype=bool)",CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
self.fires,numpy.zeros((self.size),CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
fires,"numpy.zeros((self.size[0]+2,self.size[1]+2)",CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
start,datetime.datetime.now(),CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame(portfolio),CLUSTER_18,CLUSTER_9,CLUSTER_9,CLUSTER_0,CLUSTER_0
small_df,pandas.concat(dfs[s]forsinstocks),CLUSTER_18,CLUSTER_9,CLUSTER_9,CLUSTER_0,CLUSTER_0
returns,"numpy.dot(weights,returns_monthly.loc[date])",CLUSTER_18,CLUSTER_9,CLUSTER_9,CLUSTER_0,CLUSTER_0
max_sharpe[date],numpy.argmax(sharpe_ratio[date]),CLUSTER_18,CLUSTER_9,CLUSTER_9,CLUSTER_0,CLUSTER_0
weights/,numpy.sum(weights),CLUSTER_18,CLUSTER_9,CLUSTER_9,CLUSTER_0,CLUSTER_0
mask,"numpy.where(numpy.logical_and(x>=0.5,x<=1.0)",CLUSTER_2,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
u0,numpy.ones(nx),CLUSTER_2,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
x,"numpy.linspace(0.0,L,num=nx)",CLUSTER_2,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
projection,sklearn.manifold.TSNE(),CLUSTER_3,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
kmeans,sklearn.cluster.KMeans(n_clusters=3),CLUSTER_3,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
"fig,ax",matplotlib.pyplot.subplots(),CLUSTER_3,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
mask_img,numpy.array(Image.open('./data/clover.jpg'),CLUSTER_7,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
df_clean,pandas.DataFrame(index=df.index),CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
features,pandas.DataFrame(index=df_clean.index),CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
df,"pandas.read_csv(""features_selecionadas(comlabels)",CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
"df_clean[""date""]","pandas.to_datetime(date_clean[0]+""/""+date_clean[1]+""/""+date_clean[2],format=""%d/%m/%Y"")",CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
"fig,ax","matplotlib.pyplot.subplots(1,1,figsize=(10,10)",CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
mdl,"sklearn.tree.DecisionTreeClassifier(random_state=0,max_depth=2,class_weight=""balanced"")",CLUSTER_27,CLUSTER_12,CLUSTER_3,CLUSTER_0,CLUSTER_0
mismP,numpy.array([]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
mismQ,numpy.array([]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
mismP,numpy.array([]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
mismQ,numpy.array([]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
Y,"numpy.zeros([NN,NN],dtype=complex)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tii,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tjj,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tij,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
H,"numpy.zeros((NN,NN)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
N,"numpy.zeros((NN,NN)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
M,"numpy.zeros((NN,NN)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
L,"numpy.zeros((NN,NN)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
Y,"numpy.zeros([NN,NN],dtype=complex)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tii,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tjj,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tij,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
tij,numpy.zeros([NB]),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
B_line,"numpy.zeros([NN,NN])",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
B_2line,"numpy.zeros([NN,NN])",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
P_Calc,numpy.zeros_like(P_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
Q_Calc,numpy.zeros_like(Q_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
DP,numpy.zeros_like(P_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
DQ,numpy.zeros_like(Q_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
P_Calc,numpy.zeros_like(P_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
DP,numpy.zeros_like(P_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
Q_Calc,numpy.zeros_like(Q_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
DQ,numpy.zeros_like(Q_nom),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
DV,"numpy.dot(J,DS)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
d_theta,"numpy.dot(B_line_inv,DP)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
dV,"numpy.dot(B_2line_inv,DQ)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
J1,"numpy.hstack((H,N)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
J2,"numpy.hstack((M,L)",CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
B,numpy.imag(Y),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
b,numpy.imag(ykm),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
B,numpy.imag(Y),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
b,numpy.imag(ykm),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
b,numpy.imag(ykm),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
G,numpy.real(Y),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
g,numpy.real(ykm),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
G,numpy.real(Y),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
g,numpy.real(ykm),CLUSTER_7,CLUSTER_4,CLUSTER_5,CLUSTER_0,CLUSTER_1
